,Position,Rider,Born,Team,Total time,FC points,race
142,143,Connor Brown,1998,Qhubeka ASSOS,+ 16:53,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
143,144,Wout Poels,1987,Bahrain Victorious,+ 17:38,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
144,145,Michael Valgren,1992,EF Education-NIPPO,+ 17:38,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
145,146,Colin Joyce,1994,Rally Cycling,+ 17:38,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
146,147,Alan Riou,1997,Arkéa-Samsic,+ 17:53,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
147,148,Ide Schelling,1998,BORA-hansgrohe,+ 17:53,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
148,149,Max Kanter,1997,Team DSM,+ 17:53,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
149,150,Robert Power,1995,Qhubeka ASSOS,+ 19:18,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
150,151,Matis Louvel,1999,Arkéa-Samsic,+ 19:50,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
151,152,Luke Rowe,1990,INEOS Grenadiers,+ 19:59,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
152,153,Benjamin King,1989,Rally Cycling,+ 19:59,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
153,154,Domen Novak,1995,Bahrain Victorious,+ 20:09,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
154,155,Joan Bou,1997,Euskaltel-Euskadi,+ 20:11,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
155,156,Simon Guglielmi,1997,Groupama-FDJ,+ 20:28,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
156,157,William Bonnet,1982,Groupama-FDJ,+ 20:41,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
157,158,Karel Vacek,2000,Qhubeka ASSOS,+ 21:17,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
158,159,Frederik Wandahl,2001,BORA-hansgrohe,+ 21:26,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
159,160,Josef Cerný,1993,Deceuninck-Quick Step,+ 21:26,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
160,161,Juan Jose Lobato,1988,Euskaltel-Euskadi,+ 21:26,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
161,162,Jordi Meeus,1998,BORA-hansgrohe,+ 21:26,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
162,DNF,Tony Gallopin,1988,AG2R Citroën Team,,,Volta Catalunya - 2021 stage 03 : Canal Olímpic de Catalunya - Vallter 2000
0,01,Rohan Dennis,1990,INEOS Grenadiers,22:27,50,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
1,02,Remi Cavagna,1995,Deceuninck-Quick Step,+ 05,20,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
2,03,Joao Almeida,1998,Deceuninck-Quick Step,+ 28,8,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
3,04,Brandon McNulty,1998,UAE Team Emirates,+ 28,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
4,05,Steven Kruijswijk,1987,Jumbo-Visma,+ 33,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
5,06,Richie Porte,1985,INEOS Grenadiers,+ 34,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
6,07,Adam Yates,1992,INEOS Grenadiers,+ 35,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
7,08,Josef Cerný,1993,Deceuninck-Quick Step,+ 38,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
8,09,Stefan de Bod,1996,Astana-Premier Tech,+ 38,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
9,10,Geraint Thomas,1986,INEOS Grenadiers,+ 47,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
10,11,Fausto Masnada,1993,Deceuninck-Quick Step,+ 48,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
11,12,Wilco Kelderman,1991,BORA-hansgrohe,+ 52,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
12,13,Luis León Sánchez,1983,Astana-Premier Tech,+ 53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
13,14,Tejay Van Garderen,1988,EF Education-NIPPO,+ 54,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
14,15,Jonathan Castroviejo,1987,INEOS Grenadiers,+ 55,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
15,16,Thymen Arensman,1999,Team DSM,+ 58,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
16,17,Koen Bouwman,1993,Jumbo-Visma,+ 59,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
17,18,Thomas De Gendt,1986,Lotto Soudal,+ 01:01,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
18,19,Dries Devenyns,1983,Deceuninck-Quick Step,+ 01:02,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
19,20,Robert Gesink,1986,Jumbo-Visma,+ 01:05,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
20,21,Rigoberto Uran,1987,EF Education-NIPPO,+ 01:05,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
21,22,Lennard Kämna,1996,BORA-hansgrohe,+ 01:05,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
22,23,Urko Berrade,1997,Kern Pharma,+ 01:06,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
23,24,Marc Soler,1993,Movistar Team,+ 01:07,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
24,25,Hugh Carthy,1994,EF Education-NIPPO,+ 01:08,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
25,26,James Knox,1995,Deceuninck-Quick Step,+ 01:09,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
26,27,Simon Yates,1992,Team BikeExchange,+ 01:10,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
27,28,Daryl Impey,1984,Israel Start-Up Nation,+ 01:11,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
28,29,Matej Mohoric,1994,Bahrain Victorious,+ 01:12,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
29,30,Alejandro Valverde,1980,Movistar Team,+ 01:14,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
30,31,Michael Valgren,1992,EF Education-NIPPO,+ 01:14,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
31,32,Callum Scotson,1996,Team BikeExchange,+ 01:15,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
32,33,Attila Valter,1998,Groupama-FDJ,+ 01:16,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
33,34,Harold Tejada,1997,Astana-Premier Tech,+ 01:17,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
34,35,Jérémy Bellicaud,1998,Intermarché-Wanty-Gobert,+ 01:18,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
35,36,Enric Mas,1995,Movistar Team,+ 01:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
36,37,David De La Cruz,1989,UAE Team Emirates,+ 01:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
37,38,George Bennett,1990,Jumbo-Visma,+ 01:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
38,39,Richard Carapaz,1993,INEOS Grenadiers,+ 01:20,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
39,40,Anthony Delaplace,1989,Arkéa-Samsic,+ 01:20,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
40,41,Ruben Guerreiro,1994,EF Education-NIPPO,+ 01:21,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
41,42,Bob Jungels,1992,AG2R Citroën Team,+ 01:22,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
42,43,Sepp Kuss,1994,Jumbo-Visma,+ 01:23,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
43,44,Lucas Hamilton,1996,Team BikeExchange,+ 01:24,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
44,45,Harm Vanhoucke,1997,Lotto Soudal,+ 01:24,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
45,46,Chad Haga,1988,Team DSM,+ 01:24,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
46,47,Chris Harper,1994,Jumbo-Visma,+ 01:27,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
47,48,Tony Gallopin,1988,AG2R Citroën Team,+ 01:28,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
48,49,Steff Cras,1996,Lotto Soudal,+ 01:28,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
49,50,Marc Hirschi,1998,UAE Team Emirates,+ 01:28,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
50,51,Francisco Galván,1997,Kern Pharma,+ 01:30,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
51,52,Daniel Martin,1986,Israel Start-Up Nation,+ 01:30,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
52,53,Chris Hamilton,1995,Team DSM,+ 01:30,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
53,54,Clément Champoussin,1998,AG2R Citroën Team,+ 01:31,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
54,55,Jaime Castrillo,1996,Kern Pharma,+ 01:33,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
55,56,Nairo Quintana,1990,Arkéa-Samsic,+ 01:35,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
56,57,Roger Adriá,1998,Kern Pharma,+ 01:36,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
57,58,Dion Smith,1993,Team BikeExchange,+ 01:38,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
58,59,Óscar Rodríguez,1995,Astana-Premier Tech,+ 01:38,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
59,60,Esteban Chaves,1990,Team BikeExchange,+ 01:39,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
60,61,Santiago Buitrago,1999,Bahrain Victorious,+ 01:40,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
61,62,Reto Hollenstein,1985,Israel Start-Up Nation,+ 01:40,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
62,63,Wout Poels,1987,Bahrain Victorious,+ 01:40,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
63,64,Tanel Kangert,1987,Team BikeExchange,+ 01:42,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
64,65,Michael Woods,1986,Israel Start-Up Nation,+ 01:43,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
65,66,Juan Pedro Lopez,1997,Trek-Segafredo,+ 01:44,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
66,67,Connor Brown,1998,Qhubeka ASSOS,+ 01:48,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
67,68,Mattias Skjelmose Jensen,2000,Trek-Segafredo,+ 01:48,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
68,69,Sebastien Reichenbach,1989,Groupama-FDJ,+ 01:48,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
69,70,Laurent Pichon,1986,Arkéa-Samsic,+ 01:49,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
70,71,Nicolas Edet,1987,Cofidis,+ 01:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
71,72,Michael Storer,1997,Team DSM,+ 01:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
72,73,Jai Hindley,1996,Team DSM,+ 01:52,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
73,74,Ben Gastauer,1987,AG2R Citroën Team,+ 01:53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
74,75,Ruben Fernandez,1991,Cofidis,+ 01:53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
75,76,Giulio Ciccone,1994,Trek-Segafredo,+ 01:56,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
76,77,Alan Riou,1997,Arkéa-Samsic,+ 01:57,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
77,78,Ilnur Zakarin,1989,Gazprom-RusVelo,+ 01:58,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
78,79,Sylvain Moniquet,1998,Lotto Soudal,+ 02:01,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
79,80,Andreas Kron,1998,Lotto Soudal,+ 02:01,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
80,81,Ben Zwiehoff,1994,BORA-hansgrohe,+ 02:01,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
81,82,Kilian Frankiny,1994,Qhubeka ASSOS,+ 02:01,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
82,83,Matis Louvel,1999,Arkéa-Samsic,+ 02:02,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
83,84,Joe Dombrowski,1991,UAE Team Emirates,+ 02:02,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
84,85,Jonathan Caicedo,1993,EF Education-NIPPO,+ 02:02,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
85,86,Diego Camargo,1998,EF Education-NIPPO,+ 02:03,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
86,87,Sean Bennett,1996,Qhubeka ASSOS,+ 02:04,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
87,88,Rémy Rochas,1996,Cofidis,+ 02:04,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
88,89,Tomasz Marczynski,1984,Lotto Soudal,+ 02:05,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
89,90,Chris Froome,1985,Israel Start-Up Nation,+ 02:05,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
90,91,Daniel Alejandro Mendez,2000,Kern Pharma,+ 02:06,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
91,92,Gianluca Brambilla,1987,Trek-Segafredo,+ 02:07,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
92,93,Brent Bookwalter,1984,Team BikeExchange,+ 02:08,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
93,94,Max Kanter,1997,Team DSM,+ 02:09,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
94,95,Jonas Gregaard,1996,Astana-Premier Tech,+ 02:10,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
95,96,Gavin Mannion,1991,Rally Cycling,+ 02:10,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
96,97,Sander Armee,1985,Qhubeka ASSOS,+ 02:11,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
97,98,Joey Rosskopf,1989,Rally Cycling,+ 02:13,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
98,99,Reinardt Janse Van Rensburg,1989,Qhubeka ASSOS,+ 02:15,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
99,100,Martí  Márquez,1996,Kern Pharma,+ 02:16,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
100,101,Omer Goldstein,1996,Israel Start-Up Nation,+ 02:17,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
101,102,Antwan Tolhoek,1994,Jumbo-Visma,+ 02:17,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
102,103,Simon Guglielmi,1997,Groupama-FDJ,+ 02:17,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
103,104,Hermann Pernsteiner,1990,Bahrain Victorious,+ 02:18,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
104,105,Jose Herrada,1985,Cofidis,+ 02:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
105,106,Nickolas Zukowsky,1998,Rally Cycling,+ 02:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
106,107,Simone Petilli,1993,Intermarché-Wanty-Gobert,+ 02:19,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
107,108,Savva Novikov,1999,Kern Pharma,+ 02:20,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
108,109,Dmitriy Strakhov,1995,Gazprom-RusVelo,+ 02:20,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
109,110,Andres Ardila,1999,UAE Team Emirates,+ 02:21,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
110,111,Antonio Soto,1994,Euskaltel-Euskadi,+ 02:21,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
111,112,Dario Cataldo,1985,Movistar Team,+ 02:23,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
112,113,Alexander Kamp,1993,Trek-Segafredo,+ 02:25,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
113,114,Rob Britton,1984,Rally Cycling,+ 02:26,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
114,115,Artem Nych,1995,Gazprom-RusVelo,+ 02:26,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
115,116,Robert Power,1995,Qhubeka ASSOS,+ 02:27,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
116,117,Michel Ries,1998,Trek-Segafredo,+ 02:29,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
117,118,Alexander Cataford,1993,Israel Start-Up Nation,+ 02:31,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
118,119,Matteo Badilatti,1992,Groupama-FDJ,+ 02:32,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
119,120,Lukasz Owsian,1990,Arkéa-Samsic,+ 02:32,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
120,121,Merhawi Kudus,1994,Astana-Premier Tech,+ 02:37,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
121,122,Mikel Bizkarra,1989,Euskaltel-Euskadi,+ 02:39,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
122,123,Sergey Chernetskiy,1990,Gazprom-RusVelo,+ 02:39,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
123,124,Matthieu Ladagnous,1984,Groupama-FDJ,+ 02:40,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
124,125,Maxim Van Gils,1999,Lotto Soudal,+ 02:41,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
125,126,Denis Nekrasov,1997,Gazprom-RusVelo,+ 02:42,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
126,127,Peter Sagan,1990,BORA-hansgrohe,+ 02:45,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
127,128,Antoine Duchesne,1991,Groupama-FDJ,+ 02:48,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
128,129,Sebastian Molano,1994,UAE Team Emirates,+ 02:49,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
129,130,Luis Angel Mate,1984,Euskaltel-Euskadi,+ 02:49,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
130,131,Stephen Williams,1996,Bahrain Victorious,+ 02:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
131,132,Benjamin King,1989,Rally Cycling,+ 02:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
132,133,Sergio Samitier,1995,Movistar Team,+ 02:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
133,134,François Bidard,1992,AG2R Citroën Team,+ 02:50,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
134,135,Rein Taaramäe,1987,Intermarché-Wanty-Gobert,+ 02:53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
135,136,William Bonnet,1982,Groupama-FDJ,+ 02:53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
136,137,Nathan Brown,1991,Rally Cycling,+ 02:53,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
137,138,Clément Venturini,1993,AG2R Citroën Team,+ 02:54,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
138,139,Gotzon Martin,1996,Euskaltel-Euskadi,+ 02:54,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
139,140,Jordi Meeus,1998,BORA-hansgrohe,+ 02:58,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
140,141,Elie Gesbert,1995,Arkéa-Samsic,+ 03:00,,Volta Catalunya - 2021 stage 02 : Banyoles - Banyoles
